id,title,description,category,price,discount_percentage,rating,stock,tags,brand,sku,weight,dimensions,warranty_information,shipping_information,availability_status,return_policy,minimum_order_quantity,thumbnail,images,barcode,qr_code,available_sizes,unit,gender,material,style,pattern,color
1,Essence Mascara Lash Princess,The Essence Mascara Lash Princess is a popular mascara known for its volumizing and lengthening effects. Achieve dramatic lashes with this long-lasting and cruelty-free formula.,beauty,9.99,10.48,2.56,99,"[""beauty"", ""mascara""]",Essence,BEA-ESS-ESS-001,4,"{""width"": 15.14, ""height"": 13.08, ""depth"": 22.99}",1 week warranty,Ships in 3-5 business days,In Stock,No return policy,48,https://cdn.dummyjson.com/product-images/beauty/essence-mascara-lash-princess/thumbnail.webp,"[""https://cdn.dummyjson.com/product-images/beauty/essence-mascara-lash-princess/1.webp""]",5784719087687,https://cdn.dummyjson.com/public/qr-code.png,"[""One Size""]",piece,U,Cosmetic Formula,Beauty,Solid,Multi
2,Eyeshadow Palette with Mirror,"The Eyeshadow Palette with Mirror offers a versatile range of eyeshadow shades for creating stunning eye looks. With a built-in mirror, it's convenient for on-the-go makeup application.",beauty,19.99,18.19,2.86,34,"[""beauty"", ""eyeshadow""]",Glamour Beauty,BEA-GLA-EYE-002,9,"{""width"": 9.26, ""height"": 22.47, ""depth"": 27.67}",1 year warranty,Ships in 2 weeks,In Stock,7 days return policy,20,https://cdn.dummyjson.com/product-images/beauty/eyeshadow-palette-with-mirror/thumbnail.webp,"[""https://cdn.dummyjson.com/product-images/beauty/eyeshadow-palette-with-mirror/1.webp""]",9170275171413,https://cdn.dummyjson.com/public/qr-code.png,"[""One Size""]",piece,U,Cosmetic Formula,Beauty,Solid,Multi
3,Powder Canister,"The Powder Canister is a finely milled setting powder designed to set makeup and control shine. With a lightweight and translucent formula, it provides a smooth and matte finish.",beauty,14.99,9.84,4.64,89,"[""beauty"", ""face powder""]",Velvet Touch,BEA-VEL-POW-003,8,"{""width"": 29.27, ""height"": 27.93, ""depth"": 20.59}",3 months warranty,Ships in 1-2 business days,In Stock,No return policy,22,https://cdn.dummyjson.com/product-images/beauty/powder-canister/thumbnail.webp,"[""https://cdn.dummyjson.com/product-images/beauty/powder-canister/1.webp""]",8418883906837,https://cdn.dummyjson.com/public/qr-code.png,"[""One Size""]",piece,U,Cosmetic Formula,Beauty,Solid,Multi
4,Red Lipstick,"The Red Lipstick is a classic and bold choice for adding a pop of color to your lips. With a creamy and pigmented formula, it provides a vibrant and long-lasting finish.",beauty,12.99,12.16,4.36,91,"[""beauty"", ""lipstick""]",Chic Cosmetics,BEA-CHI-LIP-004,1,"{""width"": 18.11, ""height"": 28.38, ""depth"": 22.17}",3 year warranty,Ships in 1 week,In Stock,7 days return policy,40,https://cdn.dummyjson.com/product-images/beauty/red-lipstick/thumbnail.webp,"[""https://cdn.dummyjson.com/product-images/beauty/red-lipstick/1.webp""]",9467746727219,https://cdn.dummyjson.com/public/qr-code.png,"[""One Size""]",piece,U,Cosmetic Formula,Beauty,Solid,Red
5,Red Nail Polish,"The Red Nail Polish offers a rich and glossy red hue for vibrant and polished nails. With a quick-drying formula, it provides a salon-quality finish at home.",beauty,8.99,11.44,4.32,79,"[""beauty"", ""nail polish""]",Nail Couture,BEA-NAI-NAI-005,8,"{""width"": 21.63, ""height"": 16.48, ""depth"": 29.84}",1 month warranty,Ships overnight,In Stock,No return policy,22,https://cdn.dummyjson.com/product-images/beauty/red-nail-polish/thumbnail.webp,"[""https://cdn.dummyjson.com/product-images/beauty/red-nail-polish/1.webp""]",4063010628104,https://cdn.dummyjson.com/public/qr-code.png,"[""One Size""]",piece,U,Cosmetic Formula,Beauty,Solid,Red
6,Calvin Klein CK One,"CK One by Calvin Klein is a classic unisex fragrance, known for its fresh and clean scent. It's a versatile fragrance suitable for everyday wear.",fragrances,49.99,1.89,4.37,29,"[""fragrances"", ""perfumes""]",Calvin Klein,FRA-CAL-CAL-006,7,"{""width"": 29.36, ""height"": 27.76, ""depth"": 20.72}",1 week warranty,Ships overnight,In Stock,90 days return policy,9,https://cdn.dummyjson.com/product-images/fragrances/calvin-klein-ck-one/thumbnail.webp,"[""https://cdn.dummyjson.com/product-images/fragrances/calvin-klein-ck-one/1.webp"", ""https://cdn.dummyjson.com/product-images/fragrances/calvin-klein-ck-one/2.webp"", ""https://cdn.dummyjson.com/product-images/fragrances/calvin-klein-ck-one/3.webp""]",2451534060749,https://cdn.dummyjson.com/public/qr-code.png,"[""One Size""]",piece,U,Liquid,Luxury,Solid,Transparent
7,Chanel Coco Noir Eau De,"Coco Noir by Chanel is an elegant and mysterious fragrance, featuring notes of grapefruit, rose, and sandalwood. Perfect for evening occasions.",fragrances,129.99,16.51,4.26,58,"[""fragrances"", ""perfumes""]",Chanel,FRA-CHA-CHA-007,7,"{""width"": 24.5, ""height"": 25.7, ""depth"": 25.98}",3 year warranty,Ships overnight,In Stock,No return policy,1,https://cdn.dummyjson.com/product-images/fragrances/chanel-coco-noir-eau-de/thumbnail.webp,"[""https://cdn.dummyjson.com/product-images/fragrances/chanel-coco-noir-eau-de/1.webp"", ""https://cdn.dummyjson.com/product-images/fragrances/chanel-coco-noir-eau-de/2.webp"", ""https://cdn.dummyjson.com/product-images/fragrances/chanel-coco-noir-eau-de/3.webp""]",4091737746820,https://cdn.dummyjson.com/public/qr-code.png,"[""One Size""]",piece,U,Liquid,Luxury,Solid,Transparent
8,Dior J'adore,"J'adore by Dior is a luxurious and floral fragrance, known for its blend of ylang-ylang, rose, and jasmine. It embodies femininity and sophistication.",fragrances,89.99,14.72,3.8,98,"[""fragrances"", ""perfumes""]",Dior,FRA-DIO-DIO-008,4,"{""width"": 27.67, ""height"": 28.28, ""depth"": 11.83}",1 week warranty,Ships in 2 weeks,In Stock,7 days return policy,10,https://cdn.dummyjson.com/product-images/fragrances/dior-j'adore/thumbnail.webp,"[""https://cdn.dummyjson.com/product-images/fragrances/dior-j'adore/1.webp"", ""https://cdn.dummyjson.com/product-images/fragrances/dior-j'adore/2.webp"", ""https://cdn.dummyjson.com/product-images/fragrances/dior-j'adore/3.webp""]",1445086097250,https://cdn.dummyjson.com/public/qr-code.png,"[""One Size""]",piece,U,Liquid,Luxury,Floral,Transparent
9,Dolce Shine Eau de,"Dolce Shine by Dolce & Gabbana is a vibrant and fruity fragrance, featuring notes of mango, jasmine, and blonde woods. It's a joyful and youthful scent.",fragrances,69.99,0.62,3.96,4,"[""fragrances"", ""perfumes""]",Dolce & Gabbana,FRA-DOL-DOL-009,6,"{""width"": 27.28, ""height"": 29.88, ""depth"": 18.3}",3 year warranty,Ships in 1 month,Low Stock,7 days return policy,2,https://cdn.dummyjson.com/product-images/fragrances/dolce-shine-eau-de/thumbnail.webp,"[""https://cdn.dummyjson.com/product-images/fragrances/dolce-shine-eau-de/1.webp"", ""https://cdn.dummyjson.com/product-images/fragrances/dolce-shine-eau-de/2.webp"", ""https://cdn.dummyjson.com/product-images/fragrances/dolce-shine-eau-de/3.webp""]",3023868210708,https://cdn.dummyjson.com/public/qr-code.png,"[""One Size""]",piece,U,Liquid,Luxury,Solid,Transparent
10,Gucci Bloom Eau de,"Gucci Bloom by Gucci is a floral and captivating fragrance, with notes of tuberose, jasmine, and Rangoon creeper. It's a modern and romantic scent.",fragrances,79.99,14.39,2.74,91,"[""fragrances"", ""perfumes""]",Gucci,FRA-GUC-GUC-010,7,"{""width"": 20.92, ""height"": 21.68, ""depth"": 11.2}",6 months warranty,Ships overnight,In Stock,No return policy,2,https://cdn.dummyjson.com/product-images/fragrances/gucci-bloom-eau-de/thumbnail.webp,"[""https://cdn.dummyjson.com/product-images/fragrances/gucci-bloom-eau-de/1.webp"", ""https://cdn.dummyjson.com/product-images/fragrances/gucci-bloom-eau-de/2.webp"", ""https://cdn.dummyjson.com/product-images/fragrances/gucci-bloom-eau-de/3.webp""]",3170832177880,https://cdn.dummyjson.com/public/qr-code.png,"[""One Size""]",piece,U,Liquid,Luxury,Floral,Transparent
11,Annibale Colombo Bed,"The Annibale Colombo Bed is a luxurious and elegant bed frame, crafted with high-quality materials for a comfortable and stylish bedroom.",furniture,1899.99,8.57,4.77,88,"[""furniture"", ""beds""]",Annibale Colombo,FUR-ANN-ANN-011,10,"{""width"": 28.16, ""height"": 25.36, ""depth"": 17.28}",1 year warranty,Ships in 1 month,In Stock,No return policy,1,https://cdn.dummyjson.com/product-images/furniture/annibale-colombo-bed/thumbnail.webp,"[""https://cdn.dummyjson.com/product-images/furniture/annibale-colombo-bed/1.webp"", ""https://cdn.dummyjson.com/product-images/furniture/annibale-colombo-bed/2.webp"", ""https://cdn.dummyjson.com/product-images/furniture/annibale-colombo-bed/3.webp""]",3610757456581,https://cdn.dummyjson.com/public/qr-code.png,"[""One Size""]",piece,U,Leather/Wood,Modern,Solid,Multi
